"direction","line_name","org_name","org_lat","org_long","dest_name","dest_lat","dest_long","vech_name","vech_lat","vech_long","next_point_name","arrivial_app","dist_from_stop","weekend_status","day_of_year","time_of_day","delay_mins"
0,"Bx35","W 179 ST/BROADWAY",40.848951,-73.936872,"W FARMS RD SOUTHERN BL",40.825403,-73.891317,"NYCT_712",40.827749,-73.894589,"E 167 St/SOUTHERN BL","< 1 stop away",280,FALSE,356,1284,-2.03333333333333
0,"B8","4 AV/95 ST",40.616104,-74.031143,"BROWNSVILLE ROCKAWAY AV",40.656048,-73.907379,"NYCT_7618",40.628496,-73.980811,"18 AV/49 ST","at stop",7,FALSE,153,485,1.16666666666667
0,"S78","BRICKTOWN SHOPPING/CENTER",40.530102,-74.226295,"ST GEORGE FERRY via HYLAN",40.643585,-74.072609,"NYCT_8132",40.537352,-74.150332,"HYLAN BL/ARMSTRONG AV","approaching",37,FALSE,165,664,11.4333333333333
1,"X28","E 57 ST/MADISON AV",40.762562,-73.972794,"CONEY ISLAND SEA GATE via BROADWAY",40.573338,-74.00219,"NYCT_2471",40.684588,-74.007223,"Gwnus Cntrline Ep-S/Gwnus Cntrline Ep-S","4.1 miles away",6656,TRUE,154,1062,6.61666666666667
1,"Bx17","FORDHAM PLAZA/BUS TERMINAL",40.860229,-73.890968,"PT MORRIS 135 ST",40.804848,-73.918556,"NYCT_709",40.813623,-73.91096,"ST. ANN'S AV/E 149 ST","< 1 stop away",203,FALSE,160,707,10.5166666666667
0,"Bx28","VALENTINE AV/E 192 ST",40.864076,-73.894613,"CO-OP CITY EARHART LA via GUNHILL",40.860826,-73.822669,"NYCT_4413",40.866615,-73.838836,"BARTOW AV/GUNTHER AV","< 1 stop away",154,TRUE,274,1130,15.05
1,"S46","ST GEORGE FERRY/S46 & S96",40.643429,-74.073654,"W SHORE PLZ via CASTLETON",40.601971,-74.19133,"NYCT_7034",40.634351,-74.119597,"CASTLETON AV/BARKER ST","< 1 stop away",170,FALSE,156,620,0.666666666666667
1,"M9","1 AV/E 27 ST",40.739596,-73.976425,"BATTERY PK CITY via AV C via PARK ROW",40.710277,-74.016204,"NYCT_6732",40.711919,-74.006299,"PARK ROW/BEEKMAN ST","approaching",94,FALSE,286,1286,4.75
0,"B8","4 AV/95 ST",40.616104,-74.031143,"BROWNSVILLE ROCKAWAY AV",40.656048,-73.907379,"NYCT_434",40.647145,-73.920006,"AV B/RALPH AV","at stop",14,FALSE,233,1189,-0.466666666666667
0,"M104","W 41 ST/8 AV",40.756549,-73.990123,"W HARLEM 129 ST via BWAY",40.814906,-73.955044,"NYCT_6710",40.757421,-73.989653,"8 AV/W 43 ST","approaching",79,FALSE,340,1015,22.0666666666667
0,"Q42","ARCHER AV/153 ST",40.702094,-73.801733,"ADDESLEIGH PK SAYRES AV",40.699611,-73.773996,"NYCT_8454",40.699255,-73.774293,"SAYRES AV/180 ST","approaching",46,FALSE,354,1090,8.25
1,"M72","E 72 ST/YORK AV",40.766949,-73.954117,"WEST SIDE FREEDOM PL XTOWN",40.776489,-73.988724,"NYCT_5235",40.771717,-73.96528,"E 72 ST/MADISON AV","at stop",1,FALSE,240,810,0.733333333333333
0,"Bx39","SOUNDVIEW AV/STEPHENS AV",40.807868,-73.852716,"WAKEFIELD 241 ST via WHITE PLS RD",40.903309,-73.849922,"NYCT_1209",40.883301,-73.862956,"WHITE PLAINS RD/E 219 ST","at stop",23,TRUE,358,1025,8.81666666666667
1,"B47","MARCUS GARVEY BLVD/BROADWAY",40.699574,-73.941444,"KINGS PLAZA via RALPH AV",40.611008,-73.92041,"NYCT_7236",40.682491,-73.922632,"RALPH AV/DECATUR ST","at stop",9,FALSE,229,650,0.633333333333333
0,"B41","E 70 ST/VETERANS AV",40.619935,-73.908708,"EMPIRE BL",40.663012,-73.962211,"NYCT_4947",40.653494,-73.959437,"FLATBUSH AV/CLARKSON AV","< 1 stop away",196,FALSE,290,1437,1.51666666666667
1,"Bx41","WHITE PLAINS RD/E GUN HILL RD",40.877853,-73.866669,"THE HUB 150 ST via WEBSTER",40.816887,-73.917488,"NYCT_5568",40.830879,-73.910409,"WEBSTER AV/E 167 ST","at stop",0,FALSE,233,824,13.9333333333333
0,"B65","SMITH ST/FULTON ST",40.691209,-73.987376,"CROWN HTS RALPH AV",40.670198,-73.92255,"NYCT_6599",40.675973,-73.933337,"DEAN ST/SCHENECTADY AV","approaching",44,FALSE,290,1379,-1.23333333333333
0,"B16","SHORE RD/4 AV",40.611761,-74.03512,"LEFRTS GDNS PROSPCT PK STA",40.660858,-73.961379,"NYCT_478",40.660805,-73.961311,"LINCOLN RD/FLATBUSH AV","at stop",4,FALSE,282,428,4.55
1,"B15","JFK AIRPORT/TERMINAL 5 AirTrain STATION",40.647276,-73.779631,"BED-STUY WOODHULL HOSP",40.699777,-73.941503,"NYCT_4834",40.668953,-73.87641,"NEW LOTS AV/BERRIMAN ST","< 1 stop away",174,FALSE,304,988,0.0833333333333333
1,"M101","ST NICHOLAS AV/W 192 ST",40.856288,-73.928768,"EAST VILLAGE 6 ST via LEX AV",40.729113,-73.990259,"NYCT_5873",40.824819,-73.947908,"AMSTERDAM AV/W 143 ST","< 1 stop away",154,FALSE,283,145,-1.4
1,"Bx13","RIVER AV/E 150 ST",40.820633,-73.929497,"WASHINGTON HTS GW BRIDGE",40.849113,-73.937752,"NYCT_4344",40.849067,-73.937734,"W 179 ST/BROADWAY","at stop",2,FALSE,164,986,-1.71666666666667
0,"Q3","JFK AIRPORT/TERMINAL 5 AirTrain STATION",40.647278,-73.779633,"JAMAICA 179 ST STA 165 ST TERM",40.707615,-73.79554,"NYCT_8457",40.711855,-73.789817,"HILLSIDE AV/172 ST","at stop",27,FALSE,236,915,-1.66666666666667
1,"B44","LEE AV/FLUSHING AV",40.699505,-73.953484,"SHEPSHD BAY KNAPP ST via NOSTRND",40.585064,-73.931343,"NYCT_5056",40.678261,-73.949713,"NOSTRAND AV/PACIFIC ST","approaching",103,FALSE,216,729,0.133333333333333
1,"B38","METROPOLITAN AV/STARR ST",40.71335,-73.914305,"DNTWN BKLYN TILLARY ST",40.696117,-73.990995,"NYCT_4138",40.689922,-73.981172,"DE KALB AV/FLATBUSH AV EX","at stop",7,FALSE,277,506,3.48333333333333
0,"Q27","SPRINGFIELD BL / 119 AV",40.692741,-73.745102,"FLUSHING  MAIN ST STA",40.761745,-73.829529,"NYCT_8058",40.75969,-73.830197,"39 AV/MAIN ST","approaching",91,FALSE,153,904,23.1333333333333
0,"Q84","ARCHER AV/153 ST",40.702095,-73.801735,"LAURELTON 238 ST via 120 AV",40.679817,-73.729927,"NYCT_8108",40.70003,-73.788824,"MERRICK BL/107 AV","approaching",41,TRUE,231,697,-2.15
